27,13,9,2285
27,13,11,2696
27,14,7,1
27,14,9,5
27,14,11,1
28,12,7,11
28,12,9,3
28,12,11,5
28,13,7,1859
28,13,9,1362
28,13,11,1394
28,14,7,10176
28,14,9,7029
28,14,11,7590
29,13,7,129
29,13,9,87
29,13,11,88
29,14,7,5271
29,14,9,3539
29,14,11,3981
29,15,11,1
30,12,11,2
30,13,7,52
30,13,9,27
30,13,11,45
30,14,7,4650
30,14,9,3109
30,14,11,3633
30,15,7,49
30,15,9,44
30,15,11,53
31,12,11,4
31,13,7,5
31,13,11,5
31,14,7,394
31,14,9,287
31,14,11,323
31,15,7,9260
31,15,9,6080
31,15,11,7159
31,16,7,2
31,16,9,3
31,16,11,1
32,13,9,1
32,14,7,91
32,14,9,42
32,14,11,66
32,15,7,6072
32,15,9,4039
32,15,11,4975
32,16,7,23840
32,16,9,15917
32,16,11,19329
33,13,7,3
33,14,7,23
33,14,9,7
33,14,11,15
33,15,7,912
33,15,9,590
33,15,11,730
33,16,7,20308
33,16,9,13569
33,16,11,16053
33,17,7,3
33,17,9,2
33,17,11,2
34,14,7,10
34,14,9,13
34,14,11,7
34,15,7,872
34,15,9,590
34,15,11,697
34,16,7,11598
34,16,9,7711
34,16,11,8743
34,17,7,330
34,17,9,218
34,17,11,216
34,18,9,1
34,18,11,2
35,14,7,3
35,14,9,1
35,14,11,9
35,15,7,133
35,15,9,100
35,15,11,96
35,16,7,7202
35,16,9,4750
35,16,11,5803
35,17,7,72599
35,17,9,48155
35,17,11,58341
35,18,7,96
35,18,9,64
35,18,11,75
36,14,11,2
36,15,7,104
36,15,9,55
36,15,11,109
36,16,7,4835
36,16,9,3176
36,16,11,3988
36,17,7,3592
36,17,9,1985
36,17,11,2980
36,18,7,62031
36,18,9,39613
36,18,11,49639
36,19,9,1
37,15,7,8
37,15,9,11
37,15,11,15
37,16,7,2371
37,16,9,1492
37,16,11,1732
37,17,7,194828
37,17,9,141733
37,17,11,174320
37,18,7,50452
37,18,9,48398
37,18,11,57063
38,15,7,4
38,15,9,2
38,15,11,3
38,16,7,624
38,16,9,425
38,16,11,534
38,17,7,30728
38,17,9,20283
38,17,11,24263
38,18,7,352508
38,18,9,230568
38,18,11,278639
38,19,7,17
38,19,9,15
38,19,11,21
39,16,7,11
39,16,9,4
39,16,11,7
39,17,7,11139
39,17,9,7398
39,17,11,8912
39,18,7,1059216
39,18,9,693559
39,18,11,838647
39,19,7,1559332
39,19,9,1007166
39,19,11,1254449
40,16,9,1
40,17,7,1244
40,17,9,774
40,17,11,1085
40,18,7,1584898
40,18,9,796351
40,18,11,1396587
40,19,7,329
40,19,9,205
40,19,11,271
40,20,7,2764
40,20,9,1943
40,20,11,2236
41,18,7,1556212
41,18,9,1597341
41,18,11,1876864
41,19,7,3102119
41,19,9,3183217
41,19,11,3740674
42,19,7,11
42,19,9,10
42,19,11,7
42,20,7,74
42,20,9,49
42,20,11,62
43,20,7,3
43,20,11,3
44,20,7,4
55,25,7,1
60,28,6,7
